username,location,text
Uber_Support,Global,"@jadereidxxx Hi Jade, we are happy to help. Please follow our support page: https://t.co/NKIrIGI0CA so our Uber Eat… https://t.co/1HoaGiVZZd"
seanmorgen,"Brisbane, Australia",@geekOnaught @UberEats_AU He was probably trying to tweet out the cuck story and someone stopped him from doing so.
Laziibones,@bitchboned🔞,RT @silknymphe: UberEats oughta be ashamed of themselves! Wtf is a small order fee? You’re gonna charge me an extra $2 bc my order is under…
GovernorAnne,The Beetle,This is how I feel when I order Postino paninis on UberEats and set my table with my French press to recreate the e… https://t.co/dCg6SVHLRV
geekOnaught,,@seanmorgen @UberEats_AU Bet he died on a tinder date. He would have wanted it that way.
1johnG,"Minnesota Ya Sure, You Betcha!","RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
simplyalove,californi.aLove,I be so lazy when I’m alone I ain’t tryna do shit. Ubereats here I come.
Uber_Support,Global,"@kimmy098 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
english10juku,,@46_kens1_forpr Want to take out a snack? UberEats is now discounted by ¥1300 for the first order (promotion code:… https://t.co/OFfijTM8jB
seanmorgen,"Brisbane, Australia",@UberEats_AU you alive Tairence? Haven’t heard from you for a few days.
HdHammer865,South Africa ,"RT @TheBrometheus: Imagine if the right to trial by combat was enshrined in the US Bill of Rights.

Consider the impact on US fitness level…"
Talleyah_O_o,IC Homeschooling  ‘22 🎭📚 🥴,RT @Talleyah_O_o: Somebody talk me down before I start using Tinder like UberEats😅
Uber_Support,Global,"@Chiefredcoat Hi there, we are happy to help. Please follow our support page: https://t.co/iSC1tiEpqp so our Uber E… https://t.co/SGpeCS4CHL"
suikenbrewery,東京都北区上十条2-7-13,"RT @english10juku: @suikenbrewery We are waiting for the last order today from 15:00 to 21:00.
Beer sales at Uber Eats and beer takeout sal…"
Uber_Support,Global,"@FarzanaAdam1 Hi there, please follow our support page: https://t.co/EDM965XLWX so our Uber Eats support team can assist you."
english10juku,,"@suikenbrewery We are waiting for the last order today from 15:00 to 21:00.
Beer sales at Uber Eats and beer takeou… https://t.co/OulwqckO7B"
jojopowell_,united states of new jersey,i really accidentally ordered from both doordash and ubereats on some fried shit and now they’re both gonna be at my door at the same time
KeKatli,,RT @NkosiYummy: UberEats
_Percyval,,Call it UberEats https://t.co/bBrqldas5D
NkosiYummy,Kwa MamRuby,UberEats https://t.co/NYnLO4B0eP
tediously_brief,"Los Angeles, CA",i wish there was a service where people who were delivered wrong @Postmates or @ubereats could call a number and th… https://t.co/IWZ9rnMBZO
ImperatorRob,,Neymar really is taking the piss lmfao needs to leave Ubereats league https://t.co/kCDWkWRW3s
rasikv,Melbourne,@drtushar @ShivaIndianCuis Are they  on #UberEats ?
Theartflowers15,"Florida, USA",@melvniie @jamescharles Just to let you know people use ubereats and Postmates it normal thing that people due some… https://t.co/1iR8Y5a6Nr
CarolByrnes1414,,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
CaraArtman,"Saint Louis, MO",RT @PlasticsBeyond: Food delivery co's @ubereats @grubhub @doordash @seamless @postmates @deliverydotcom @caviar can help reduce the tsunam…
Uber_Support,Global,"@justlillylew Hi Lilly, we are happy to help. Please follow our support page: https://t.co/atT3XI8q19 so our Uber E… https://t.co/HTiD8faI3v"
jerrymisobe,Australia,monique made a playlist about my fuck up with ubereats and im crying bc of the playlist’s description and ella said… https://t.co/q8NZzBex9E
teecook13,"Texas, USA",@_DTownn @UberEats Lol alright! 💀
_DTownn,Ellis Co. ✨,"@teecook13 @UberEats It doesn’t mess w/ my stomach 😂😂😂

But now I miss South Park 😂😂😂 https://t.co/6eeLUPPxS9"
JulieReichwein1,Colorado CD-3,"RT @JulieReichwein1: The most banned woman in the world, Laura Loomer, was banned from Uber &amp; Ubereats, &amp; labeled a racist, 4 calling out t…"
teecook13,"Texas, USA",@_DTownn @UberEats Don’t do it bro lol you gonn need chipotleway 💀
Uber_Support,Global,"@Kyle_SA97 Hi Kyle, we are happy to help. Please follow our support page: https://t.co/Cvlcm7BkLh so our Uber Eats… https://t.co/0sjmmdKuK8"
Uber_Support,Global,"@Jimmy_Tristone Hi there, as mentioned earlier please follow our support page: https://t.co/FeZmmPxmu8 so our Uber… https://t.co/OR1Auxme61"
_DTownn,Ellis Co. ✨,"Bro I’m still mad at fucking @uberEATS. 

I have been craving chipotle bro... idk why. 💀 https://t.co/WzUJUiTYsw"
Uber_Support,Global,"@itzKPnutz_XboX Hi Kris, we are happy to help. Please follow our support page: https://t.co/ppbQcveIaj so our Uber… https://t.co/SqH4j2qgiy"
Uber_Support,Global,"@karenjuliff Hi Karen, we are happy to help. Please follow our support page: https://t.co/jzTxCmpnk9 so our Uber Ea… https://t.co/ObNTYDmWRG"
Uber_Support,Global,"@SvenRufus Hi Sven, we are happy to help. Please follow our support page: https://t.co/vxp2qZmWSC so our Uber Eats… https://t.co/mwOGV2WBRJ"
Just_PeterSmith,Melbourne,@Kate_Jones7 @7NewsMelbourne Would the UberEats driver been fined if he had delivered the Butter Chicken to the Wer… https://t.co/gxdtFcnhp1
erodakate,19,@trebledvocalist this is on ubereats &amp; it’s only coming up w cuba st but saying they have no delivery partners :((… https://t.co/8H7sXH1bIX
vivsluong,bay area,"RT @kingqueefy: If u have a problem with wearing a mask here’s some alternatives
1) don’t leave the fucking house 
2) use insta cart for gr…"
Uber_Support,Global,"@Gerry_McC Hi Gerry, we are happy to help. Please follow our support page: https://t.co/4LhTIZbiRB so our Uber Eats… https://t.co/rpAKiRkv6y"
atomic_anu,Australia,"Not expecting a useful response from these skeevy weirdos, but @uber how many of your drivers and delivery people s… https://t.co/75YUlNAKxa"
Pabi_Modupi,"Daveyton, South Africa","RT @lec_catering: Today's menu 😋😋

● Chuck steak R65
● Mala Le Matoana : R30
● Cow Heel : R45

LEC Catering on UberEATS 

If you are around…"
FaustyUniverse,Kawaii Hell,@SteaknShake @Grubhub @UberEats @DoorDash @Postmates Fire Craig Johnson of Warner Robins
Yashyraaaaa,The Moon,"RT @SportsBookieSF: Switch over to UberEats lol 

You can get $7 off the whole order. It's more worth it if you pick it up in person.

Use…"
Mya_All1234,,@UberEats just stole my money! My delivery driver can’t help and I can’t find the customer service number.
Vebs88955724,,@UberEats is it possible to find out if there are any runners in Beaumont or do i wait for 3 hours for nothing?
